Epoch Time,z
1710350042.6151588,0.20624106129010517
1710350042.6152797,0.17471293608347574
1710350042.6154003,0.14213386509153578
1710350042.6155212,0.11025541358523898
1710350042.6156418,0.07907758984300825
1710350042.6157627,0.04754946049716737
1710350042.6158834,0.016021327012115054
1710350042.6160042,-0.014453039815028507
1710350042.616125,-0.04562476028998693
1710350042.6162457,-0.07784721752007802
1710350042.6163666,-0.11077015764183468
1710350042.6164873,-0.14474383658832973
1710350042.6166081,-0.1783672637409634
1710350042.6167288,-0.21199069089359707
1710350042.6168497,-0.24491363101535374
1710350042.6169705,-0.27818683120939464
1710350042.6170912,-0.31005902422799003
1710350042.617212,-0.34193125036027694
1710350042.6173327,-0.37345319986343384
1710350042.6174536,-0.40462493896484375
1710350042.6175742,-0.4357966449525621
1710350042.617695,-0.46836935811572605
1710350042.617816,-0.5005917946497599
1710350042.6179366,-0.5331645078129238
1710350042.6180575,-0.5657372209760878
1710350042.6181781,-0.5972591373655531
1710350042.618299,-0.6284309095806545
1710350042.6184196,-0.6592523389392428
1710350042.6185405,-0.6893733474943373
1710350042.6186614,-0.7198445664511787
1710350042.618782,-0.750315851635403
1710350042.618903,-0.7818377680248684
1710350042.6190236,-0.8137100272708468
1710350042.6191444,-0.8462827073203193
1710350042.619265,-0.8785051769680446
1710350042.619386,-0.9110778570175171
1710350042.6195068,-0.9429500500361124
1710350042.6196275,-0.9748222430547078
1710350042.6197484,-1.0059940152698092
1710350042.619869,-1.0368154446283977
1710350042.6199899,-1.067636940214369
1710350042.6201105,-1.0991589228312175
1710350042.6202314,-1.1306809054480658
1710350042.6203523,-1.1629033088684082
1710350042.620473,-1.1951258447435167
1710350042.6205938,-1.2269980377621121
1710350042.6207144,-1.2581696775224473
1710350042.6208353,-1.2903922133975558
1710350042.620956,-1.31981266869439
1710350042.6210768,-1.3502838876512315
1710350042.6211977,-1.3783033688863118
1710350042.6213183,-1.4073737462361653
1710350042.6214392,-1.4371444119347465
1710350042.6215599,-1.467265420489841
1710350042.6216807,-1.4973864290449355
1710350042.6218014,-1.5271570947435167
1710350042.6219223,-1.5569278928968642
1710350042.6220431,-1.5849473741319444
1710350042.6221638,-1.614017751481798
1710350042.6222847,-1.6406362586551242
1710350042.6224053,-1.6683055294884575
1710350042.6225262,-1.69422361585829
1710350042.6226468,-1.7215426762898762
1710350042.6227677,-1.7485113938649495
1710350042.6228886,-1.7751299010382757
1710350042.6230092,-1.8024489614698622
1710350042.62313,-1.8311689959632025
1710350042.6232507,-1.858137845993042
1710350042.6233716,-1.8844061427646213
1710350042.6234922,-1.9099738862779405
1710350042.623613,-1.9351915518442788
1710350042.623734,-1.960409084955851
1710350042.6238546,-1.9852764076656766
1710350042.6239755,-2.010493940777249
1710350042.6240962,-2.036061816745334
1710350042.624217,-2.0626803239186606
1710350042.6243377,-2.08894862069024
1710350042.6244586,-2.114166153801812
1710350042.6245794,-2.1393838193681503
1710350042.6247,-2.1642511420779758
1710350042.624821,-2.188768254386054
1710350042.6249416,-2.2122346030341253
1710350042.6250625,-2.2350003984239364
1710350042.625183,-2.257766193813748
1710350042.625304,-2.2812326749165854
1710350042.6254249,-2.3036482599046493
1710350042.6255455,-2.327464951409234
1710350042.6256664,-2.351631588406033
1710350042.625787,-2.3754482799106174
1710350042.625908,-2.3985642857021756
1710350042.6260285,-2.422030766805013
1710350042.6261494,-2.444446351793077
