Epoch Time,z
1710360853.37444,-1.7278469933403862
1710360853.3745527,-1.5754908985561795
1710360853.3746653,-1.4136780632866752
1710360853.374778,-1.2431091732449002
1710360853.3748906,-1.066235966152615
1710360853.3750033,-0.8827080991533067
1710360853.3751159,-0.6921752956178453
1710360853.3752286,-0.49708935949537486
1710360853.3753412,-0.2939477894041273
1710360853.375454,-0.08415160907639398
1710360853.3755665,0.1316244817442364
1710360853.3756793,0.3530220521820916
1710360853.3757918,0.579323967297872
1710360853.3759046,0.8094793558120728
1710360853.376017,1.0417366027832031
1710360853.3761299,1.271891991297404
1710360853.3762424,1.4985442161560059
1710360853.3763552,1.7199416955312092
1710360853.3764677,1.933982769648234
1710360853.3765805,2.142068412568834
1710360853.376693,2.3427976502312555
1710360853.3768058,2.5361702177259655
1710360853.3769183,2.721485561794705
1710360853.377031,2.899794578552246
1710360853.3771436,3.0707470575968423
1710360853.3772564,3.232591417100694
1710360853.377369,3.3839265505472818
1710360853.3774817,3.524051507314046
1710360853.3775942,3.6515654457939997
1710360853.377707,3.7654169400533037
1710360853.3778198,3.8645553588867188
1710360853.3779323,3.949331177605523
1710360853.378045,4.019393655988905
1710360853.3781576,4.0750932693481445
1710360853.3782704,4.11678049299452
1710360853.378383,4.14480553732978
1710360853.3784957,4.159868823157416
1710360853.3786082,4.164422882927789
1710360853.378721,4.157066345214844
1710360853.3788335,4.140601687961154
1710360853.3789463,4.111876222822401
1710360853.3790588,4.0750932693481445
1710360853.3791716,4.02675019370185
1710360853.3792841,3.9654453595479326
1710360853.379397,3.892930613623725
1710360853.3795094,3.808855745527479
1710360853.3796222,3.712519804636637
1710360853.3797348,3.6053241623772516
1710360853.3798475,3.4876190291510687
1710360853.37996,3.362207147810194
1710360853.3800728,3.230839835272895
1710360853.3801854,3.09246646033393
1710360853.3802981,2.9488383399115667
1710360853.3804107,2.799254788292779
1710360853.3805234,2.6433658599853516
1710360853.380636,2.479769653744168
1710360853.3807487,2.308116488986545
1710360853.3808615,2.127705547544691
