Epoch Time,y
1710779979.6124694,0.20869324604670206
1710779979.6125824,0.15964948468738133
1710779979.6126957,0.10955478582117292
1710779979.6128087,0.05875946333010991
1710779979.6129217,0.006913200227750672
1710779979.6130347,-0.04422378622823291
1710779979.613148,-0.09535941812727186
1710779979.613261,-0.14649505416552225
1710779979.613374,-0.19622971614201862
1710779979.613487,-0.24421314398447672
1710779979.6136003,-0.2932473023732503
1710779979.6137133,-0.34088051981396145
1710779979.6138263,-0.38676248656378853
1710779979.6139393,-0.4343956708908081
1710779979.6140525,-0.4820288552178277
1710779979.6141655,-0.5310630467202928
1710779979.6142786,-0.5797469615936279
1710779979.6143916,-0.6294816070132785
1710779979.6145048,-0.6781655550003052
1710779979.6146178,-0.7250982522964478
1710779979.6147308,-0.7720309495925903
1710779979.6148438,-0.8193139235178629
1710779979.614957,-0.8658963441848755
1710779979.61507,-0.9114280674192641
1710779979.615183,-0.9583607647154067
1710779979.6152961,-1.0059940152698092
1710779979.6154094,-1.052226225535075
1710779979.6155224,-1.1005598968929715
1710779979.6156354,-1.1467920409308539
1710779979.6157484,-1.1926741070217557
1710779979.6158617,-1.237155066596137
1710779979.6159747,-1.2795346313052707
1710779979.6160877,-1.3212136427561443
1710779979.616201,-1.3621922334035237
1710779979.616314,-1.4021200603908963
1710779979.616427,-1.4423980977800157
1710779979.61654,-1.4819757143656414
1710779979.6166532,-1.5215531984965005
1710779979.6167662,-1.5611308150821261
1710779979.6168792,-1.5989572472042508
1710779979.6169922,-1.6350323624081082
1710779979.6171055,-1.6690059502919514
1710779979.6172185,-1.7019289069705539
1710779979.6173315,-1.7334508895874023
1710779979.6174445,-1.7639221085442436
1710779979.6175578,-1.793342696295844
1710779979.6176708,-1.8227631515926785
1710779979.6177838,-1.8521836068895128
1710779979.6178968,-1.8823046154446073
1710779979.61801,-1.9106744395362005
1710779979.618123,-1.9376431571112738
1710779979.618236,-1.963911453882853
1710779979.618349,-1.9880783557891846
1710779979.6184623,-2.0108441511789956
1710779979.6185753,-2.031158341301812
1710779979.6186883,-2.0514725314246283
1710779979.6188014,-2.0707359578874374
1710779979.6189146,-2.0896491739484997
1710779979.6190276,-2.1085622575547958
1710779979.6191406,-2.1278256840176053
1710779979.6192536,-2.1442871623569064
1710779979.619367,-2.1607486406962075
1710779979.61948,-2.174758381313748
1710779979.619593,-2.18666672706604
1710779979.619706,-2.196823755900065
1710779979.6198192,-2.204879389868842
1710779979.6199322,-2.213285234239366
1710779979.6200452,-2.2202901045481362
1710779979.6201584,-2.227645185258653
1710779979.6202714,-2.2350003984239364
1710779979.6203845,-2.242005401187473
1710779979.6204975,-2.2493603494432235
1710779979.6206107,-2.254263824886746
1710779979.6207237,-2.258466879526774
1710779979.6208367,-2.2602179315355087
1710779979.6209497,-2.2609183523390026
1710779979.621063,-2.259167300330268
1710779979.621176,-2.2574159834120007
1710779979.621289,-2.2546140352884927
1710779979.621402,-2.2518120871649847
1710779979.6215153,-2.24865992863973
1710779979.6216283,-2.2455077701144748
1710779979.6217413,-2.239903873867459
1710779979.6218543,-2.233599556816949
1710779979.6219676,-2.224843237135145
1710779979.6220806,-2.2143359978993735
1710779979.6221936,-2.20137702094184
1710779979.6223066,-2.187717490726047
1710779979.6224198,-2.1733574072519937
1710779979.6225328,-2.15864724583096
1710779979.6226459,-2.1435867415534124
1710779979.6227589,-2.1288764476776123
1710779979.622872,-2.114866707060072
1710779979.6229851,-2.098755439122518
1710779979.6230981,-2.0833447244432235
1710779979.6232111,-2.0651320616404214
1710779979.6233244,-2.045518424775865
1710779979.6234374,-2.023453050189548
1710779979.6235504,-2.0010373327467175
1710779979.6236637,-1.9775709840986464
1710779979.6237767,-1.9537544250488281
1710779979.6238897,-1.9295875231424966
1710779979.6240027,-1.9047202004326713
