,Input Bpp (nT),Measured Bpp (nT),Measured Bpp err (nT)
0,0.12924175717230912,0.13076698,0.015138737
1,0.25507612711409494,0.255367112,0.01002487
2,0.3809104970558807,0.380211618,0.009975553
3,0.5067448669976665,0.506245906,0.00967562
4,0.6325792369394523,0.632079577,0.009390102
5,0.758413606881238,0.758375884,0.017786386
6,0.8842479768230238,0.884824029,0.009740993
7,1.01008234676481,1.011286218,0.014078863
8,1.1359167167065956,1.135562708,0.010103056
9,1.2617510866483814,1.261742253,0.010022201
10,1.3875854565901673,1.385991368,0.01576202
11,1.513419826531953,1.510636922,0.014933584
12,1.6392541964737388,1.634942257,0.01545453
13,1.7650885664155245,1.760696713,0.015469167
14,1.8909229363573106,1.886910919,0.027635066
15,2.0167573062990964,2.007465252,0.009417086
16,2.142591676240882,2.131026279,0.009307004
17,2.2684260461826677,2.252902871,0.009580113
18,2.3942604161244536,2.375796852,0.009036188
19,2.4949279120778822,2.471281098,0.012053181
20,2.620762282019668,2.594141182,0.021410299
21,2.746596651961454,2.71308967,0.010018989
22,2.8724310219032394,2.832155466,0.010484613
23,2.9982653918450253,2.951480342,0.010358476
24,3.111516324792633,3.0691723,0.010480661
25,3.237350694734418,3.186761249,0.015753988
26,3.3631850646762045,3.304367617,0.009290041
27,3.4890194346179904,3.421311786,0.009715773
28,3.6148538045597762,3.537421906,0.016155155
29,3.740688174501562,3.653303926,0.01052688
30,3.8665225444433475,3.767372208,0.010138573
31,3.9923569143851334,3.881455553,0.016836009
32,4.118191284326919,3.994782173,0.009634307
33,4.244025654268706,4.108814365,0.009704508
34,4.3698600242104915,4.223443655,0.026958757
35,4.4831109571580985,4.332366174,0.015361355
36,4.608945327099884,4.444130497,0.016514508
37,4.734779697041669,4.554097375,0.01753658
38,4.860614066983455,4.662842406,0.015248536
39,4.986448436925241,4.772215811,0.016594952
40,5.112282806867027,4.879486736,0.010437281
41,5.238117176808813,4.98574666,0.00991638
42,5.363951546750599,5.092936834,0.017341626
43,5.489785916692385,5.196596178,0.015277128
44,5.6156202866341705,5.302670612,0.01009982
45,5.741454656575955,5.40789371,0.028568164
46,5.867289026517742,5.507911069,0.015060986
47,5.980539959465349,5.608903452,0.015790793
48,6.106374329407134,5.709709679,0.008696233
49,6.232208699348921,5.812225347,0.019517856
50,6.358043069290706,5.909415782,0.009819189
51,6.483877439232493,6.00955889,0.008813613
52,6.609711809174279,6.106650126,0.014589901
53,6.735546179116064,6.202910841,0.009020241
54,6.86138054905785,6.305217944,0.071452434
55,6.987214918999635,6.391607176,0.01967041
56,7.1256327259356,6.58062888,0.007431459
57,7.226300221889029,6.675896249,0.013747242
58,7.377301465819172,6.767967723,0.013187247
59,7.477968961772601,6.855648018,0.013301788
60,7.603803331714386,6.945731754,0.010435539
61,7.717054264661993,7.032745926,0.007865586
62,7.855472071597958,7.12496308,0.031264031
63,7.968723004545565,7.208243807,0.012575677
64,8.09455737448735,7.294042835,0.013340769
65,8.220391744429136,7.377881367,0.008599972
66,8.333642677376742,7.462245275,0.013208914
67,8.45947704731853,7.543708779,0.007446378
68,8.572727980266135,7.626265131,0.013379452
69,8.698562350207922,7.708171395,0.017439743
70,8.862147031132244,7.786122439,0.014562797
71,8.950231090091494,7.866071452,0.012883241
72,9.088648897027458,7.942982306,0.00793531
73,9.201899829975064,8.0220422,0.018228025
74,9.34031763691103,8.093460262,0.021184923
75,9.478735443846993,8.17105154,0.007415451
76,9.60456981378878,8.244637105,0.011078079
77,9.680070435753851,8.31881357,0.01055743
78,9.818488242689815,8.389953712,0.012080888
79,9.956906049625779,8.460223375,0.007196925
80,10.082740419567566,8.530220564,0.012004938
81,10.20857478950935,8.603137844,0.017246721
82,10.296658848468601,8.674962688,0.065986687
83,10.460243529392924,8.741310138,0.052976473
84,10.560911025346352,8.802220241,0.007190396
85,10.67416195829396,8.868234428,0.013254806
86,10.812579765229923,8.933260721,0.007586249
87,10.900663824189174,8.997221047,0.007075033
88,11.089415379101853,9.060905307,0.009926506
89,11.202666312049459,9.122372581,0.008154163
90,11.278166934014532,9.188836231,0.046740573
91,11.441751614938852,9.243499979,0.009984912
92,11.580169421874816,9.306899768,0.0290734
93,11.64308660684571,9.362060571,0.007846625
94,11.768920976787495,9.419188625,0.024443434
95,11.90733878372346,9.486190783,0.065975243
96,12.008006279676888,9.539278216,0.043379015
97,12.133840649618675,9.593071102,0.010337397
