,Input Bpp (nT),Measured Bpp (nT),Measured Bpp err (nT)
0,0.08322936310471525,0.0805072200909621,0.0066079510684468
1,0.20778041598154764,0.2034172687234469,0.0092257825771158
2,0.324547028053578,0.3272152530701321,0.0050807955612921
3,0.44909808093041037,0.4499338083649631,0.0033483617772844
4,0.5736491338072428,0.573468278045848,0.0052196380148599
5,0.6982001866840751,0.6975808801202288,0.0041317567250673
6,0.8227512395609076,0.8195889066027789,0.0046114509789453
7,0.9395178516329379,0.9428137273629692,0.0045602568547044
8,1.0640689045097704,1.0652592884752086,0.0035819779240805
9,1.1886199573866025,1.1873409136801063,0.0032124396794649
10,1.313171010263435,1.3079007966975884,0.0033954315479728
11,1.4377220631402676,1.4269958707370132,0.0096163557964055
12,1.5389197936026937,1.5321051647069586,0.0040390858644139
49,1.6634708464795263,1.6493153954953468,0.0050828591648563
50,1.7802374585515564,1.7666033038461992,0.0049775258022534
51,1.904788511428389,1.8863808683076508,0.0165417078651864
52,2.0293395643052214,1.999473777424364,0.0047188574329881
53,2.1461061763772515,2.1128748456807505,0.0040968529454434
54,2.270657229254084,2.2276338072383157,0.0045272447073078
55,2.387423841326114,2.341640221111348,0.0044251104604448
56,2.5119748942029467,2.451976135287611,0.0046856430514338
57,2.636525947079779,2.562517155570959,0.0051890213192616
58,2.6832325919085913,2.610583959067011,0.0077350566885714
59,2.7999992039806214,2.7106831582567383,0.0053782060714131
60,2.924550256857454,2.818443635168404,0.0045530301574425
61,3.041316868929484,2.925241327547393,0.0065678639428998
62,3.1658679218063166,3.034562060211243,0.0046973863819502
63,3.2904189746831487,3.1390775816484995,0.0042628069592263
64,3.4071855867551797,3.2447689862538933,0.012869733334931
65,3.5317366396320122,3.346112936293488,0.0038844988159313
66,3.6562876925088443,3.4516956963765244,0.0307046206251332
67,3.7808387453856764,3.549903403128338,0.0042113223486449
68,3.897605357457707,3.649540057908781,0.0259358748973437
69,4.0221564103345395,3.741684032460365,0.0034506891985661
70,4.1467074632113725,3.837255424914684,0.0036263520996781
71,4.271258516088205,3.932656194237164,0.0038505405683078
72,4.388025128160235,4.027996968583828,0.0173186579509664
73,4.512576181037067,4.119230710920985,0.0039325222337438
74,4.6371272339139,4.21062569357603,0.0249914628686242
75,4.761678286790732,4.293969014223952,0.0036558993773356
76,4.8862293396675645,4.382688560435313,0.0035842709617864
77,5.002995951739595,4.465118345889027,0.0040282530680737
78,5.127547004616427,4.552127165620776,0.0114749297029113
79,5.25209805749326,4.633822656299793,0.004284730214088
80,5.376649110370092,4.715116144536554,0.003931180781372
81,5.493415722442122,4.790369096718892,0.0037903899400862
82,5.617966775318955,4.870814469814116,0.008587647034343
83,5.742517828195787,4.948238206362538,0.0040088011818446
84,5.86706888107262,5.021042192169363,0.007299449173606
85,5.991619933949452,5.097691094421895,0.0063997308338838
86,6.108386546021483,5.166552529873694,0.0037382906063342
87,6.232937598898315,5.234323583155135,0.0050773823382451
88,6.357488651775147,5.302967888434245,0.0108689417428697
89,6.48203970465198,5.370705890579151,0.0049637360093907
90,6.59880631672401,5.439655369526347,0.0132986087124504
91,6.723357369600842,5.504919988557506,0.0390812319501952
92,6.847908422477674,5.5635999541729575,0.0057877414943726
93,6.972459475354507,5.626234802412341,0.0132565687811879
94,7.089226087426537,5.6860433613057735,0.0137433248566132
95,7.213777140303369,5.746489531000358,0.0066777617903914
96,7.338328193180202,5.804649434258168,0.0070172388197441
97,7.462879246057034,5.862310148190817,0.0161652933357942
98,7.587430298933867,5.916767480851052,0.0075553559019023
99,7.704196911005898,5.969309012622271,0.0080278795140723
13,7.86767016790674,6.022748179863491,0.018471071927884
14,7.94551457595476,6.072400526525136,0.0352628236067344
15,8.1012033920508,6.12068907160227,0.0099449159598192
16,8.17904780009882,6.170553073849474,0.0092479819486644
17,8.33473661619486,6.219061833463674,0.0302758000179508
18,8.412581024242881,6.262698038228263,0.0105888926384389
19,8.568269840338921,6.314786004069464,0.0105653959765921
20,8.723958656434961,6.35546090076464,0.0129962045381771
21,8.801803064482982,6.4011372899672185,0.0176205668707779
22,8.957491880579022,6.441212276839696,0.0118219471859259
23,9.035336288627041,6.48030569093518,0.0130880858876977
24,9.191025104723083,6.521464597399452,0.0139254306142565
25,9.268869512771104,6.557500619783815,0.01369377584606
26,9.424558328867143,6.599004454011108,0.0348187712234266
27,9.580247144963185,6.6300442246496285,0.0137211294644853
28,9.658091553011205,6.671660783756196,0.0398806955027881
29,9.813780369107244,6.705586505810298,0.0235351729958745
30,9.891624777155265,6.737965522611895,0.0159845863806679
31,10.047313593251307,6.775629513931331,0.0434289925886952
32,10.203002409347345,6.807570421040705,0.0181661275581033
33,10.280846817395366,6.836948923544071,0.0258101889710572
34,10.436535633491408,6.863291201713481,0.0171270111271726
35,10.514380041539427,6.896094578051035,0.0174555068679978
36,10.670068857635467,6.922459007943651,0.0186951992847174
37,10.747913265683488,6.948982231626646,0.0349442233697395
38,10.903602081779528,6.976985158886184,0.0183236566360201
39,11.059290897875568,6.997994652403709,0.023931470575134
40,11.13713530592359,7.02420921264199,0.0605329404728543
41,11.29282412201963,7.05259747570709,0.0214063215280836
42,11.370668530067649,7.075249284574962,0.021181886468866
43,11.52635734616369,7.098312325101062,0.0275063506712053
44,11.604201754211712,7.118478676833639,0.0211955230825588
45,11.75989057030775,7.137634631756593,0.0268119485463903
46,11.915579386403792,7.161439219552755,0.0231983339169151
47,11.993423794451813,7.18060780943452,0.0346287247062551
48,12.149112610547851,7.19613724727922,0.0246828269208822
