Epoch Time,x
1710525490.4097676,-1.3271677494049072
1710525490.4098809,-1.301950216293335
1710525490.4099941,-1.2763824727800157
1710525490.4101076,-1.2501140435536702
1710525490.4102209,-1.22279511557685
1710525490.410334,-1.1947755018870037
1710525490.4104474,-1.1657052569919162
1710525490.4105606,-1.136284801695082
1710525490.410674,-1.1051130294799805
1710525490.4107873,-1.0739413234922621
1710525490.4109006,-1.0417188538445366
1710525490.4110138,-1.0091461737950642
1710525490.411127,-0.9758730067147149
1710525490.4112406,-0.9433003266652424
1710525490.4113538,-0.910727580388387
1710525490.411467,-0.8771042029062907
1710525490.4115803,-0.8434807591968112
1710525490.4116936,-0.8095070388582017
1710525490.4118068,-0.7744826873143513
1710525490.4119203,-0.7398084799448649
1710525490.4120336,-0.7033830881118774
1710525490.4121468,-0.666257275475396
1710525490.41226,-0.6287811199824015
1710525490.4123733,-0.5913050307167901
1710525490.4124868,-0.5545293953683641
1710525490.4126,-0.5167030294736227
1710525490.4127133,-0.47922690709431964
1710525490.4128265,-0.44140054119957817
1710525490.4129398,-0.40392445193396675
1710525490.4130533,-0.3657478425237867
1710525490.4131665,-0.32582001553641426
1710525490.4132798,-0.28589218854904175
1710525490.413393,-0.2445633874999152
1710525490.4135063,-0.2032345864507887
1710525490.4136198,-0.1622560289171007
1710525490.413733,-0.12162772317727406
1710525490.4138463,-0.08099940915902455
1710525490.4139595,-0.04142183396551344
1710525490.4140728,-0.0018442538566887379
1710525490.4141862,0.03774070905314551
1710525490.4142995,0.07732603285047743
1710525490.4144127,0.11866291364034016
1710525490.414526,0.15894886520173815
1710525490.4146392,0.20063605573442247
1710525490.4147527,0.24197295308113098
1710525490.414866,0.28401046991348267
1710525490.4149792,0.3246467312177022
1710525490.4150925,0.36493264966540867
1710525490.4152057,0.40451798174116343
1710525490.415319,0.44410331381691825
1710525490.4154325,0.48298799329333836
1710525490.4155457,0.5225733253690932
1710525490.415659,0.5618083477020264
1710525490.4157722,0.6020942661497328
1710525490.4158854,0.6420299079683092
1710525490.415999,0.6830165121290419
1710525490.4161122,0.721901191605462
1710525490.4162254,0.760435594452752
1710525490.4163387,0.7979190349578857
1710525490.416452,0.8340012364917331
1710525490.4165654,0.8700834380255805
1710525490.4166787,0.9037134382459853
1710525490.416792,0.9383944008085463
1710525490.4169052,0.9727250205145942
1710525490.4170184,1.007055640220642
1710525490.417132,1.04103598329756
1710525490.4172451,1.0753666030036078
1710525490.4173584,1.1089966032240126
1710525490.4174716,1.141575707329644
1710525490.417585,1.1731037828657362
1710525490.4176984,1.203580962287055
1710525490.4178116,1.2330072455936008
1710525490.417925,1.260681947072347
1710525490.4180381,1.2890573342641194
1710525490.4181514,1.3177829318576388
1710525490.4182646,1.3465085294511583
1710525490.418378,1.3731323348151312
1710525490.4184914,1.4008070362938774
1710525490.4186046,1.4274307092030842
1710525490.4187179,1.4519525898827446
1710525490.418831,1.4761242601606581
1710525490.4189446,1.4971429771847196
1710525490.4190578,1.5181616942087808
1710525490.419171,1.537428961859809
1710525490.4192843,1.557046439912584
1710525490.4193976,1.5745619932810464
1710525490.419511,1.591727336247762
1710525490.4196243,1.6085423363579643
1710525490.4197376,1.6246567832099066
1710525490.4198508,1.6400705443488226
1710525490.419964,1.653032037946913
1710525490.4200776,1.6659936639997694
1710525490.4201908,1.67720357577006
1710525490.420304,1.6870123810238309
1710525490.4204173,1.6961205005645752
1710525490.4205306,1.7045280668470595
1710525490.420644,1.7125851578182645
1710525490.4207573,1.7206423812442355
1710525490.4208705,1.7283492618136935
1710525490.4209838,1.7350052462683783
1710525490.421097,1.7399095164404974
1710525490.4212105,1.7451642619238958
1710525490.4213238,1.749367978837755
1710525490.421437,1.7518202463785806
1710525490.4215503,1.7546227243211534
1710525490.4216635,1.7556736204359267
1710525490.4217768,1.756374306148953
1710525490.4218903,1.757425202263726
1710525490.4220035,1.757074859407213
1710525490.4221168,1.7560239632924397
1710525490.42223,1.7549730671776664
1710525490.4223433,1.7521704567803276
1710525490.4224567,1.748667425579495
1710525490.42257,1.7448139190673828
1710525490.4226832,1.7399095164404974
1710525490.4227965,1.733604007297092
1710525490.4229097,1.7279989189571805
1710525490.4230232,1.7206423812442355
1710525490.4231365,1.7129355006747775
1710525490.4232497,1.7045280668470595
1710525490.423363,1.695419814851549
1710525490.4234762,1.6856111420525444
1710525490.4235897,1.6733502017127142
1710525490.423703,1.6628408432006836
1710525490.4238162,1.6498792171478271
1710525490.4239295,1.6365673806932237
1710525490.4240427,1.6239560974968803
1710525490.4241562,1.6095932324727376
1710525490.4242694,1.5952304999033609
1710525490.4243827,1.5798167387644448
1710525490.424496,1.5637022919125028
1710525490.4246092,1.5468872918023002
1710525490.4247227,1.5290213955773246
1710525490.424836,1.5104548136393228
1710525490.4249492,1.4904869927300346
1710525490.4250624,1.4705191718207464
1710525490.4251757,1.449150111940172
1710525490.425289,1.4284817377726238
1710525490.4254024,1.4057113064659965
1710525490.4255157,1.383992036183675
1710525490.425629,1.361221604877048
1710525490.4257421,1.3370500670539007
1710525490.4258554,1.3132288720872667
1710525490.425969,1.28800630569458
1710525490.4260821,1.2613826327853732
1710525490.4261954,1.2351091702779133
1710525490.4263086,1.2088357077704535
1710525490.4264219,1.1815113491482205
1710525490.4265354,1.153135961956448
1710525490.4266486,1.125811603334215
1710525490.4267619,1.0977866252263386
1710525490.426875,1.0697615808910794
1710525490.4269884,1.0392844014697604
1710525490.4271019,1.0088072220484416
1710525490.427215,0.9772790802849664
1710525490.4273283,0.9450503190358479
